Article_URL,Adresse,Kvdm
https://www.boligsiden.dk/adresse/bremensgade-19-0-th-2300-koebenhavn-s-01010828__19_st__th,"Bremensgade 19, st. th. 2300 København S",63
https://www.boligsiden.dk/adresse/aalandsgade-32-2-mf-2300-koebenhavn-s-01018664__32__2__mf,"Ålandsgade 32, 2. mf. 2300 København S",49
https://www.boligsiden.dk/adresse/jernbane-alle-20-2-tv-2720-vanloese-01013400__20__2__tv,"Jernbane Allé 20, 2. tv. 2720 Vanløse",60
https://www.boligsiden.dk/adresse/frankrigsgade-17-1-tv-2300-koebenhavn-s-01011896__17__1__tv,"Frankrigsgade 17, 1. tv. 2300 København S",56
https://www.boligsiden.dk/adresse/sommerstedgade-17-4-tv-1718-koebenhavn-v-01016724__17__4__tv,"Sommerstedgade 17, 4. tv. 1718 København V",60
https://www.boligsiden.dk/adresse/fladstjernevej-10-2-2400-koebenhavn-nv-01011804__10__2____,"Fladstjernevej 10, 2. 2400 København NV",40
https://www.boligsiden.dk/adresse/islands-brygge-38f-3-th-2300-koebenhavn-s-01013300_38f__3__th,"Islands Brygge 38F, 3. th. 2300 København S",153
https://www.boligsiden.dk/adresse/vilhelm-buhls-gade-21-2300-koebenhavn-s-01018343__21_______,Vilhelm Buhls Gade 21 2300 København S,120
https://www.boligsiden.dk/adresse/svend-goenges-vej-33-1-2700-broenshoej-01017168__33__1____,"Svend Gønges Vej 33, 1. 2700 Brønshøj",134
https://www.boligsiden.dk/adresse/amagerbrogade-175-4-403-2300-koebenhavn-s-01010108_175__4_403,"Amagerbrogade 175, 4. 403. 2300 København S",49
https://www.boligsiden.dk/adresse/drejoegade-35-3-28-2100-koebenhavn-oe-01011332__35__3__28,"Drejøgade 35, 3. 28. 2100 København Ø",66
https://www.boligsiden.dk/adresse/jansvej-24-1-tv-2300-koebenhavn-s-01013340__24__1__tv,"Jansvej 24, 1. tv. 2300 København S",54
https://www.boligsiden.dk/adresse/aalborggade-7-3-tv-2100-koebenhavn-oe-01018668___7__3__tv,"Ålborggade 7, 3. tv. 2100 København Ø",56
https://www.boligsiden.dk/adresse/poul-bundgaards-vej-10-1-th-2500-valby-01015583__10__1__th,"Poul Bundgaards Vej 10, 1. th. 2500 Valby",101
https://www.boligsiden.dk/adresse/hoejbovej-22-1-2500-valby-01013180__22__1____,"Højbovej 22, 1. 2500 Valby",93
https://www.boligsiden.dk/adresse/burmeistersgade-23-3-th-1429-koebenhavn-k-01010960__23__3__th,"Burmeistersgade 23, 3. th. 1429 København K",51
https://www.boligsiden.dk/adresse/fenrisgade-4-5-2200-koebenhavn-n-01011744___4__5____,"Fenrisgade 4, 5. 2200 København N",50
https://www.boligsiden.dk/adresse/amagerbrogade-299-2-th-2300-koebenhavn-s-01010108_299__2__th,"Amagerbrogade 299, 2. th. 2300 København S",53
https://www.boligsiden.dk/adresse/frederikssundsvej-346-1-113-2700-broenshoej-01011964_346__1_113,"Frederikssundsvej 346, 1. 113. 2700 Brønshøj",35
https://www.boligsiden.dk/adresse/sandbjerggade-38-2-th-2200-koebenhavn-n-01016204__38__2__th,"Sandbjerggade 38, 2. th. 2200 København N",61
https://www.boligsiden.dk/adresse/strandlodsvej-23d-1-tv-2300-koebenhavn-s-01016996_23d__1__tv,"Strandlodsvej 23D, 1. tv. 2300 København S",101
https://www.boligsiden.dk/adresse/parmagade-42-4-th-2300-koebenhavn-s-01015424__42__4__th,"Parmagade 42, 4. th. 2300 København S",45
https://www.boligsiden.dk/adresse/voelundsgade-21-0-th-2200-koebenhavn-n-01018480__21_st__th,"Vølundsgade 21, st. th. 2200 København N",56
https://www.boligsiden.dk/adresse/bechgaardsgade-10-1-mf-2100-koebenhavn-oe-01010416__10__1__mf,"Bechgaardsgade 10, 1. mf. 2100 København Ø",41
https://www.boligsiden.dk/adresse/vognborgvej-6-1-2400-koebenhavn-nv-01018408___6__1____,"Vognborgvej 6, 1. 2400 København NV",128
https://www.boligsiden.dk/adresse/glentevej-10-2-9-2400-koebenhavn-nv-01012236__10__2___9,"Glentevej 10, 2. 9. 2400 København NV",42
https://www.boligsiden.dk/adresse/carl-th.-zahles-gade-8-1-mf-2300-koebenhavn-s-01011083___8__1__mf,"Carl Th. Zahles Gade 8, 1. mf. 2300 København S",91
https://www.boligsiden.dk/adresse/roennegade-14-5-tv-2100-koebenhavn-oe-01016128__14__5__tv,"Rønnegade 14, 5. tv. 2100 København Ø",84
https://www.boligsiden.dk/adresse/blankavej-14-4-tv-2500-valby-01010596__14__4__tv,"Blankavej 14, 4. tv. 2500 Valby",59
https://www.boligsiden.dk/adresse/raadvadsvej-20a-1-th-2400-koebenhavn-nv-01016164_20a__1__th,"Rådvadsvej 20A, 1. th. 2400 København NV",55
https://www.boligsiden.dk/adresse/markskellet-13-3-tv-2720-vanloese-01014648__13__3__tv,"Markskellet 13, 3. tv. 2720 Vanløse",65
https://www.boligsiden.dk/adresse/islands-brygge-102-1-tv-2300-koebenhavn-s-01013300_102__1__tv,"Islands Brygge 102, 1. tv. 2300 København S",96
https://www.boligsiden.dk/adresse/raevegade-4-1-1315-koebenhavn-k-01016076___4__1____,"Rævegade 4, 1. 1315 København K",50
https://www.boligsiden.dk/adresse/egegade-2-2-th-2200-koebenhavn-n-01011448___2__2__th,"Egegade 2, 2. th. 2200 København N",78
https://www.boligsiden.dk/adresse/bremensgade-31-2-tv-2300-koebenhavn-s-01010828__31__2__tv,"Bremensgade 31, 2. tv. 2300 København S",61
https://www.boligsiden.dk/adresse/degnemose-alle-14b-3-th-2700-broenshoej-01011280_14b__3__th,"Degnemose Allé 14B, 3. th. 2700 Brønshøj",60
https://www.boligsiden.dk/adresse/roennegade-14-6-mf-2100-koebenhavn-oe-01016128__14__6__mf,"Rønnegade 14, 6. mf. 2100 København Ø",54
https://www.boligsiden.dk/adresse/valby-langgade-49a-2-th-2500-valby-01017912_49a__2__th,"Valby Langgade 49A, 2. th. 2500 Valby",96
https://www.boligsiden.dk/adresse/islands-brygge-106-2-th-2300-koebenhavn-s-01013300_106__2__th,"Islands Brygge 106, 2. th. 2300 København S",123
https://www.boligsiden.dk/adresse/oerestads-boulevard-57a-5-542-2300-koebenhavn-s-01018541_57a__5_542,"Ørestads Boulevard 57A, 5. 542. 2300 København S",79
https://www.boligsiden.dk/adresse/prinsessegade-1-2-th-1422-koebenhavn-k-01015612___1__2__th,"Prinsessegade 1, 2. th. 1422 København K",56
https://www.boligsiden.dk/adresse/hedebygade-17a-5-tv-1754-koebenhavn-v-01012716_17a__5__tv,"Hedebygade 17A, 5. tv. 1754 København V",38
https://www.boligsiden.dk/adresse/aafloejen-24-1-th-2700-broenshoej-01018644__24__1__th,"Åfløjen 24, 1. th. 2700 Brønshøj",90
https://www.boligsiden.dk/adresse/sankt-hans-gade-4a-4-th-2200-koebenhavn-n-01016240__4a__4__th,"Sankt Hans Gade 4A, 4. th. 2200 København N",51
https://www.boligsiden.dk/adresse/hammelstrupvej-26-2-tv-2450-koebenhavn-sv-01012556__26__2__tv,"Hammelstrupvej 26, 2. tv. 2450 København SV",81
https://www.boligsiden.dk/adresse/islands-brygge-31-5-tv-2300-koebenhavn-s-01013300__31__5__tv,"Islands Brygge 31, 5. tv. 2300 København S",78
https://www.boligsiden.dk/adresse/prags-boulevard-44-0-tv-2300-koebenhavn-s-01015588__44_st__tv,"Prags Boulevard 44, st. tv. 2300 København S",61
https://www.boligsiden.dk/adresse/teglbraendervej-7-4-tv-2400-koebenhavn-nv-01017344___7__4__tv,"Teglbrændervej 7, 4. tv. 2400 København NV",48
https://www.boligsiden.dk/adresse/augustagade-5-2-tv-2300-koebenhavn-s-01010272___5__2__tv,"Augustagade 5, 2. tv. 2300 København S",62
https://www.boligsiden.dk/adresse/klaksvigsgade-5-2-th-2300-koebenhavn-s-01013722___5__2__th,"Klaksvigsgade 5, 2. th. 2300 København S",106
https://www.boligsiden.dk/adresse/ewaldsgade-4-0-2200-koebenhavn-n-01011696___4_st____,"Ewaldsgade 4, st. 2200 København N",148
https://www.boligsiden.dk/adresse/tjoernelunds-alle-10-1-2500-valby-01017500__10__1____,"Tjørnelunds Allé 10, 1. 2500 Valby",71
https://www.boligsiden.dk/adresse/groennehoej-15-1-tv-2720-vanloese-01012356__15__1__tv,"Grønnehøj 15, 1. tv. 2720 Vanløse",60
https://www.boligsiden.dk/adresse/laurids-skaus-gade-11-3-tv-2200-koebenhavn-n-01014188__11__3__tv,"Laurids Skaus Gade 11, 3. tv. 2200 København N",53
https://www.boligsiden.dk/adresse/hessensgade-17-2-tv-2300-koebenhavn-s-01012872__17__2__tv,"Hessensgade 17, 2. tv. 2300 København S",84
https://www.boligsiden.dk/adresse/burmeistersgade-15-0-th-1429-koebenhavn-k-01010960__15_st__th,"Burmeistersgade 15, st. th. 1429 København K",51
https://www.boligsiden.dk/adresse/florensvej-12-0-mf-2300-koebenhavn-s-01011832__12_st__mf,"Florensvej 12, st. mf. 2300 København S",26
https://www.boligsiden.dk/adresse/sankt-petersborg-plads-4-3-th-2150-nordhavn-01018831___4__3__th,"Sankt Petersborg Plads 4, 3. th. 2150 Nordhavn",70
https://www.boligsiden.dk/adresse/vardegade-29-1-tv-2100-koebenhavn-oe-01017996__29__1__tv,"Vardegade 29, 1. tv. 2100 København Ø",62
https://www.boligsiden.dk/adresse/livjaegergade-40-3-th-2100-koebenhavn-oe-01014364__40__3__th,"Livjægergade 40, 3. th. 2100 København Ø",94
https://www.boligsiden.dk/adresse/meklenborggade-4-4-tv-2300-koebenhavn-s-01014696___4__4__tv,"Meklenborggade 4, 4. tv. 2300 København S",117
https://www.boligsiden.dk/adresse/oscar-pettifords-vej-27-3-th-2450-koebenhavn-sv-01018826__27__3__th,"Oscar Pettifords Vej 27, 3. th. 2450 København SV",112
https://www.boligsiden.dk/adresse/groennegade-27-3-1107-koebenhavn-k-01012348__27__3____,"Grønnegade 27, 3. 1107 København K",63
https://www.boligsiden.dk/adresse/herninggade-23-3-tv-2100-koebenhavn-oe-01012860__23__3__tv,"Herninggade 23, 3. tv. 2100 København Ø",86
https://www.boligsiden.dk/adresse/paradisaeblevej-76-0-tv-2500-valby-01018848__76_st__tv,"Paradisæblevej 76, st. tv. 2500 Valby",97
https://www.boligsiden.dk/adresse/nyborggade-16-4-tv-2100-koebenhavn-oe-01015088__16__4__tv,"Nyborggade 16, 4. tv. 2100 København Ø",51
https://www.boligsiden.dk/adresse/handelsvej-10-0-th-2450-koebenhavn-sv-01013168__10_st__th,"Händelsvej 10, st. th. 2450 København SV",53
https://www.boligsiden.dk/adresse/oestbanegade-111-2-th-2100-koebenhavn-oe-01018572_111__2__th,"Østbanegade 111, 2. th. 2100 København Ø",131
https://www.boligsiden.dk/adresse/oesterbrogade-35-1-tv-2100-koebenhavn-oe-01018580__35__1__tv,"Østerbrogade 35, 1. tv. 2100 København Ø",238
https://www.boligsiden.dk/adresse/hamletsgade-4-3-186-2200-koebenhavn-n-01012552___4__3_186,"Hamletsgade 4, 3. 186. 2200 København N",65
https://www.boligsiden.dk/adresse/julius-bloms-gade-1-1-tv-2200-koebenhavn-n-01013440___1__1__tv,"Julius Bloms Gade 1, 1. tv. 2200 København N",103
https://www.boligsiden.dk/adresse/reventlowsgade-32-5-th-1651-koebenhavn-v-01015816__32__5__th,"Reventlowsgade 32, 5. th. 1651 København V",106
https://www.boligsiden.dk/adresse/soendre-fasanvej-94c-1-51-2500-valby-01017312_94c__1__51,"Søndre Fasanvej 94C, 1. 51. 2500 Valby",81
https://www.boligsiden.dk/adresse/peder-hjorts-vej-1-1-mf-2500-valby-01015444___1__1__mf,"Peder Hjorts Vej 1, 1. mf. 2500 Valby",87
https://www.boligsiden.dk/adresse/noerrebrogade-219-2-th-2200-koebenhavn-n-01015192_219__2__th,"Nørrebrogade 219, 2. th. 2200 København N",53
https://www.boligsiden.dk/adresse/gammel-koege-landevej-34-0-tv-2500-valby-01012100__34_st__tv,"Gammel Køge Landevej 34, st. tv. 2500 Valby",81
https://www.boligsiden.dk/adresse/lavendelstraede-17a-3-tv-1462-koebenhavn-k-01014196_17a__3__tv,"Lavendelstræde 17A, 3. tv. 1462 København K",85
https://www.boligsiden.dk/adresse/strandboulevarden-99-4-tv-2100-koebenhavn-oe-01016988__99__4__tv,"Strandboulevarden 99, 4. tv. 2100 København Ø",99
https://www.boligsiden.dk/adresse/markskellet-10-2-tv-2720-vanloese-01014648__10__2__tv,"Markskellet 10, 2. tv. 2720 Vanløse",135
https://www.boligsiden.dk/adresse/bremensgade-45-4-th-2300-koebenhavn-s-01010828__45__4__th,"Bremensgade 45, 4. th. 2300 København S",65
https://www.boligsiden.dk/adresse/langelinie-alle-25a-4-tv-2100-koebenhavn-oe-01014143_25a__4__tv,"Langelinie Allé 25A, 4. tv. 2100 København Ø",298
https://www.boligsiden.dk/adresse/ved-soenderport-22-3-th-2300-koebenhavn-s-01018104__22__3__th,"Ved Sønderport 22, 3. th. 2300 København S",64
https://www.boligsiden.dk/adresse/sandkaj-17-4-tv-2150-nordhavn-01016218__17__4__tv,"Sandkaj 17, 4. tv. 2150 Nordhavn",134
https://www.boligsiden.dk/adresse/oeresundsvej-132g-0-4-2300-koebenhavn-s-01018544132g_st___4,"Øresundsvej 132G, st. 4. 2300 København S",62
https://www.boligsiden.dk/adresse/rosenvaengets-hovedvej-30-1-1-2100-koebenhavn-oe-01015952__30__1___1,"Rosenvængets Hovedvej 30, 1. 1. 2100 København Ø",52
https://www.boligsiden.dk/adresse/ben-websters-vej-14-2-13-2450-koebenhavn-sv-01018823__14__2__13,"Ben Websters Vej 14, 2. 13. 2450 København SV",109
https://www.boligsiden.dk/adresse/ben-websters-vej-138-2-11-2450-koebenhavn-sv-01018823_138__2__11,"Ben Websters Vej 138, 2. 11. 2450 København SV",72
https://www.boligsiden.dk/adresse/langelinie-alle-7-3-2-2100-koebenhavn-oe-01014143___7__3___2,"Langelinie Allé 7, 3. 2. 2100 København Ø",79
https://www.boligsiden.dk/adresse/bobakken-2-1-th-2720-vanloese-01010644___2__1__th,"Bobakken 2, 1. th. 2720 Vanløse",46
https://www.boligsiden.dk/adresse/strandboulevarden-38-3-th-2100-koebenhavn-oe-01016988__38__3__th,"Strandboulevarden 38, 3. th. 2100 København Ø",131
https://www.boligsiden.dk/adresse/messinavej-5-0-tv-2300-koebenhavn-s-01014728___5_st__tv,"Messinavej 5, st. tv. 2300 København S",77
https://www.boligsiden.dk/adresse/bogtrykkervej-6-1-tv-2400-koebenhavn-nv-01010676___6__1__tv,"Bogtrykkervej 6, 1. tv. 2400 København NV",58
https://www.boligsiden.dk/adresse/strandlodsvej-23a-1-th-2300-koebenhavn-s-01016996_23a__1__th,"Strandlodsvej 23A, 1. th. 2300 København S",101
https://www.boligsiden.dk/adresse/alliancevej-17-4-tv-2450-koebenhavn-sv-01010090__17__4__tv,"Alliancevej 17, 4. tv. 2450 København SV",76
https://www.boligsiden.dk/adresse/dexter-gordons-vej-65-1-th-2450-koebenhavn-sv-01018822__65__1__th,"Dexter Gordons Vej 65, 1. th. 2450 København SV",127
https://www.boligsiden.dk/adresse/oesterbrogade-198-3-th-2100-koebenhavn-oe-01018580_198__3__th,"Østerbrogade 198, 3. th. 2100 København Ø",115
https://www.boligsiden.dk/adresse/flensborggade-34-0-tv-1669-koebenhavn-v-01011812__34_st__tv,"Flensborggade 34, st. tv. 1669 København V",61
https://www.boligsiden.dk/adresse/strandvejen-77a-0-tv-2100-koebenhavn-oe-01017004_77a_st__tv,"Strandvejen 77A, st. tv. 2100 København Ø",87
https://www.boligsiden.dk/adresse/gormsgade-10-4-76-2200-koebenhavn-n-01012268__10__4__76,"Gormsgade 10, 4. 76. 2200 København N",86
https://www.boligsiden.dk/adresse/edvard-thomsens-vej-81-3-4-2300-koebenhavn-s-01011442__81__3___4,"Edvard Thomsens Vej 81, 3. 4. 2300 København S",88
https://www.boligsiden.dk/adresse/esromgade-28-1-tv-2200-koebenhavn-n-01011680__28__1__tv,"Esromgade 28, 1. tv. 2200 København N",53
https://www.boligsiden.dk/adresse/maltagade-22-5-2300-koebenhavn-s-01014604__22__5____,"Maltagade 22, 5. 2300 København S",65
https://www.boligsiden.dk/adresse/banebrinken-95-0-34-2400-koebenhavn-nv-01010352__95_st__34,"Banebrinken 95, st. 34. 2400 København NV",67
https://www.boligsiden.dk/adresse/fredericiagade-23-1-2-1310-koebenhavn-k-01011916__23__1___2,"Fredericiagade 23, 1. 2. 1310 København K",91
https://www.boligsiden.dk/adresse/aalandsgade-28-3-th-2300-koebenhavn-s-01018664__28__3__th,"Ålandsgade 28, 3. th. 2300 København S",52
https://www.boligsiden.dk/adresse/nordre-alle-18-1-2500-valby-01015032__18__1____,"Nordre Allé 18, 1. 2500 Valby",132
https://www.boligsiden.dk/adresse/roennegade-22-0-th-2100-koebenhavn-oe-01016128__22_st__th,"Rønnegade 22, st. th. 2100 København Ø",80
https://www.boligsiden.dk/adresse/torvegade-64-5-4-1400-koebenhavn-k-01017592__64__5___4,"Torvegade 64, 5. 4. 1400 København K",38
https://www.boligsiden.dk/adresse/holmbladsgade-79-1-tv-2300-koebenhavn-s-01012984__79__1__tv,"Holmbladsgade 79, 1. tv. 2300 København S",145
https://www.boligsiden.dk/adresse/wildersgade-38-1-1408-koebenhavn-k-01018340__38__1____,"Wildersgade 38, 1. 1408 København K",120
https://www.boligsiden.dk/adresse/noekkerosevej-1-2-tv-2400-koebenhavn-nv-01015176___1__2__tv,"Nøkkerosevej 1, 2. tv. 2400 København NV",133
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-30-2-th-2300-koebenhavn-s-01014902__30__2__th,"C.F. Møllers Allé 30, 2. th. 2300 København S",105
https://www.boligsiden.dk/adresse/oeresundsvej-114-2-th-2300-koebenhavn-s-01018544_114__2__th,"Øresundsvej 114, 2. th. 2300 København S",59
https://www.boligsiden.dk/adresse/matthaeusgade-50-4-31-1666-koebenhavn-v-01014684__50__4__31,"Matthæusgade 50, 4. 31. 1666 København V",47
https://www.boligsiden.dk/adresse/aertebjergvej-1-1-th-2700-broenshoej-01018524___1__1__th,"Ærtebjergvej 1, 1. th. 2700 Brønshøj",71
https://www.boligsiden.dk/adresse/aalekistevej-172-3-35-2720-vanloese-01018672_172__3__35,"Ålekistevej 172, 3. 35. 2720 Vanløse",107
https://www.boligsiden.dk/adresse/islands-brygge-75b-6-2-2300-koebenhavn-s-01013300_75b__6___2,"Islands Brygge 75B, 6. 2. 2300 København S",77
https://www.boligsiden.dk/adresse/stockholmsgade-19-1-th-2100-koebenhavn-oe-01016920__19__1__th,"Stockholmsgade 19, 1. th. 2100 København Ø",109
https://www.boligsiden.dk/adresse/hesseloegade-42-2-4-2100-koebenhavn-oe-01012868__42__2___4,"Hesseløgade 42, 2. 4. 2100 København Ø",69
https://www.boligsiden.dk/adresse/frederikssundsvej-207-2-th-2700-broenshoej-01011964_207__2__th,"Frederikssundsvej 207, 2. th. 2700 Brønshøj",65
https://www.boligsiden.dk/adresse/amagerbrogade-39-3-2300-koebenhavn-s-01010108__39__3____,"Amagerbrogade 39, 3. 2300 København S",145
https://www.boligsiden.dk/adresse/kapelvej-57-4-2200-koebenhavn-n-01013564__57__4____,"Kapelvej 57, 4. 2200 København N",104
https://www.boligsiden.dk/adresse/edvard-thomsens-vej-81-1-1-2300-koebenhavn-s-01011442__81__1___1,"Edvard Thomsens Vej 81, 1. 1. 2300 København S",70
https://www.boligsiden.dk/adresse/sommerstedgade-21-2-th-1718-koebenhavn-v-01016724__21__2__th,"Sommerstedgade 21, 2. th. 1718 København V",72
https://www.boligsiden.dk/adresse/amerika-plads-25a-2-tv-2100-koebenhavn-oe-01010139_25a__2__tv,"Amerika Plads 25A, 2. tv. 2100 København Ø",105
https://www.boligsiden.dk/adresse/oerestads-boulevard-59a-4-403-2300-koebenhavn-s-01018541_59a__4_403,"Ørestads Boulevard 59A, 4. 403. 2300 København S",111
https://www.boligsiden.dk/adresse/sundkaj-67-5-2150-nordhavn-01017122__67__5____,"Sundkaj 67, 5. 2150 Nordhavn",150
https://www.boligsiden.dk/adresse/krudtloebsvej-28-0-th-1439-koebenhavn-k-01013998__28_st__th,"Krudtløbsvej 28, st. th. 1439 København K",148
https://www.boligsiden.dk/adresse/aalekistevej-213a-2-tv-2720-vanloese-01018672213a__2__tv,"Ålekistevej 213A, 2. tv. 2720 Vanløse",59
https://www.boligsiden.dk/adresse/halmtorvet-58-5-tv-1700-koebenhavn-v-01012544__58__5__tv,"Halmtorvet 58, 5. tv. 1700 København V",86
https://www.boligsiden.dk/adresse/jansvej-2-0-1-2300-koebenhavn-s-01013340___2_st___1,"Jansvej 2, st. 1. 2300 København S",43
https://www.boligsiden.dk/adresse/kastanie-alle-9-0-tv-2720-vanloese-01013588___9_st__tv,"Kastanie Allé 9, st. tv. 2720 Vanløse",54
https://www.boligsiden.dk/adresse/oeresundsvej-144d-2-th-2300-koebenhavn-s-01018544144d__2__th,"Øresundsvej 144D, 2. th. 2300 København S",112
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-16-5-mf-2300-koebenhavn-s-01014902__16__5__mf,"C.F. Møllers Allé 16, 5. mf. 2300 København S",92
https://www.boligsiden.dk/adresse/viggo-kampmanns-plads-7-3-2300-koebenhavn-s-01018323___7__3____,"Viggo Kampmanns Plads 7, 3. 2300 København S",138
https://www.boligsiden.dk/adresse/skjalm-hvides-gade-13-3-tv-1728-koebenhavn-v-01016472__13__3__tv,"Skjalm Hvides Gade 13, 3. tv. 1728 København V",61
https://www.boligsiden.dk/adresse/kongovej-8-1-tv-2300-koebenhavn-s-01013864___8__1__tv,"Kongovej 8, 1. tv. 2300 København S",81
https://www.boligsiden.dk/adresse/oesterbrogade-218-1-th-2100-koebenhavn-oe-01018580_218__1__th,"Østerbrogade 218, 1. th. 2100 København Ø",77
https://www.boligsiden.dk/adresse/teglstrupvej-5-1-th-2100-koebenhavn-oe-01017356___5__1__th,"Teglstrupvej 5, 1. th. 2100 København Ø",57
https://www.boligsiden.dk/adresse/doris-lessings-vej-29-0-th-2300-koebenhavn-s-01011310__29_st__th,"Doris Lessings Vej 29, st. th. 2300 København S",62
https://www.boligsiden.dk/adresse/strandlodsvej-23c-2-th-2300-koebenhavn-s-01016996_23c__2__th,"Strandlodsvej 23C, 2. th. 2300 København S",110
https://www.boligsiden.dk/adresse/herman-triers-plads-2-3-th-1631-koebenhavn-v-01012852___2__3__th,"Herman Triers Plads 2, 3. th. 1631 København V",136
https://www.boligsiden.dk/adresse/wildersgade-63-0-tv-1408-koebenhavn-k-01018340__63_st__tv,"Wildersgade 63, st. tv. 1408 København K",98
https://www.boligsiden.dk/adresse/dag-hammarskjolds-alle-1c-2100-koebenhavn-oe-01011204__1c_______,Dag Hammarskjölds Allé 1C 2100 København Ø,82
https://www.boligsiden.dk/adresse/borgerbo-3-4-th-2300-koebenhavn-s-01010712___3__4__th,"Borgerbo 3, 4. th. 2300 København S",63
https://www.boligsiden.dk/adresse/klintholmvej-2-1-tv-2700-broenshoej-01013748___2__1__tv,"Klintholmvej 2, 1. tv. 2700 Brønshøj",56
https://www.boligsiden.dk/adresse/strandlodsvej-19g-5-th-2300-koebenhavn-s-01016996_19g__5__th,"Strandlodsvej 19G, 5. th. 2300 København S",100
https://www.boligsiden.dk/adresse/frederikssundsvej-40-3-th-2400-koebenhavn-nv-01011964__40__3__th,"Frederikssundsvej 40, 3. th. 2400 København NV",53
https://www.boligsiden.dk/adresse/breslaugade-12-3-3-2300-koebenhavn-s-01010836__12__3___3,"Breslaugade 12, 3. 3. 2300 København S",38
https://www.boligsiden.dk/adresse/hallandsgade-6a-0-th-2300-koebenhavn-s-01012536__6a_st__th,"Hallandsgade 6A, st. th. 2300 København S",34
https://www.boligsiden.dk/adresse/edvard-thomsens-vej-11-10-th-2300-koebenhavn-s-01011442__11_10__th,"Edvard Thomsens Vej 11, 10. th. 2300 København S",92
https://www.boligsiden.dk/adresse/sigynsgade-42-2-tv-2200-koebenhavn-n-01016378__42__2__tv,"Sigynsgade 42, 2. tv. 2200 København N",78
https://www.boligsiden.dk/adresse/strandgade-12c-2-th-1401-koebenhavn-k-01016992_12c__2__th,"Strandgade 12C, 2. th. 1401 København K",106
https://www.boligsiden.dk/adresse/grysgaardsvej-19-1-2400-koebenhavn-nv-01012308__19__1____,"Grysgårdsvej 19, 1. 2400 København NV",141
https://www.boligsiden.dk/adresse/badstuestraede-9-3-tv-1209-koebenhavn-k-01010304___9__3__tv,"Badstuestræde 9, 3. tv. 1209 København K",65
